,Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единица измерения,Unnamed: 8
10,3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Замена элементов ветрозащиты в рамках благоустройства территории,91743607.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
11,3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Замена элементов ветрозащиты в рамках ремонтно-восстановительных работ на объектах благоустройства,91739325.0,02.06.05.07 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА ТЕРРИТОРИЙ,Штука,
12,3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов ветрозащиты в рамках благоустройства территории,91743219.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
13,3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов ветрозащиты в рамках ремонтно-восстановительных работ на объектах благоустройства,91742202.0,02.06.05.07 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА ТЕРРИТОРИЙ,Штука,
14,3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов ветрозащиты при благоустройстве парков,,,, штука
15,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного стенда в рамках благоустройства территории,91742862.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
16,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного стенда в рамках благоустройства территории,91742862.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
17,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного стенда в рамках ремонтно-восстановительных работ на объектах благоустройства,91743183.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
18,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного указателя в рамках благоустройства территории,91742865.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
19,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного указателя в рамках ремонтно-восстановительных работ на объектах благоустройства,91741750.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
20,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного щита в рамках обустройства объекта,160769413.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука,
21,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж таблички информационной в рамках благоустройства территории,91739694.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
22,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж таблички информационной в рамках ремонтно-восстановительных работ на объектах благоустройства,91742508.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
23,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного стенда в рамках благоустройства территории,91740061.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
24,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного стенда в рамках ремонтно-восстановительных работ на объектах благоустройства,91740878.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
25,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного указателя в рамках благоустройства территории,91738446.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
26,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного указателя в рамках благоустройства территорий объектов спорта,60046096.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука,
27,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного указателя в рамках благоустройства территорий учреждений образования,59116761.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Штука,
28,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного указателя в рамках ремонтно-восстановительных работ на объектах благоустройства,91739073.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
29,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена стенда информационного в рамках благоустройства территорий объектов спорта,60046193.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука,
30,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена стенда информационного в рамках благоустройства территорий учреждений образования,59116684.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Штука,
31,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена таблички информационной в рамках благоустройства территории,91740308.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
32,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена таблички информационной в рамках ремонтно-восстановительных работ на объектах благоустройства,91742591.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
33,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка информационного стенда в рамках благоустройства территории,91743433.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
34,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка информационного стенда в рамках ремонтно-восстановительных работ на объектах благоустройства,91739425.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
35,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка информационного указателя в рамках благоустройства территории,91740038.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
36,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка информационного указателя в рамках ремонтно-восстановительных работ на объектах благоустройства,91739426.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
37,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка таблички информационной в рамках благоустройства территории,91743862.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
38,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка таблички информационной в рамках ремонтно-восстановительных работ на объектах благоустройства,91743839.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
39,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного стенда в рамках компенсационного озеленения,70227527.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука,
40,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного стенда в рамках строительства велосипедной инфраструктуры,161167155.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука,
41,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного стенда на особо охраняемых природных территориях,10570504.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука,
42,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,"Устройство информационного стенда при благоустройстве парков, бульваров, скверов, зон отдыха и досуга",46323927.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука, штука
43,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного указателя в рамках благоустройства территорий объектов спорта,60046218.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука,
44,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного указателя в рамках благоустройства территорий учреждений образования,59116551.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Штука,
45,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного указателя в рамках компенсационного озеленения,70227599.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука,
46,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного указателя при благоустройстве парков,77612528.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука, штука
47,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство стенда информационного в рамках благоустройства территорий объектов спорта,60046283.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука,
48,3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство стенда информационного в рамках благоустройства территорий учреждений образования,59116565.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Штука,
49,3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Замена ограждения в рамках благоустройства территории,91740075.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука",
50,3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Замена ограждения в рамках благоустройства территории,91740075.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука",
51,3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Замена ограждения в рамках ремонтно-восстановительных работ на объектах благоустройства,91742016.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,"Погонный метр,Штука",
52,3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Установка ограждения в рамках благоустройства территории,91740059.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука",
53,3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр,
54,3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Установка ограждения в рамках ремонтно-восстановительных работ на объектах благоустройства,91741192.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,"Погонный метр,Штука",
55,3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Устройство ограждения защитного в рамках строительства велосипедной инфраструктуры,161165484.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр,
56,3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
57,3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
58,3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение дорожной разметки при благоустройстве парков,46323913.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр, квадратный метр
59,3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение разметки в рамках благоустройства территории,91741694.0,02.03.03.07 ОБУСТРОЙСТВО ТЕРРИТОРИЙ СРЕДСТВАМИ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ,Погонный метр,
60,3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение разметки в рамках обустройства объекта,160769895.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр,
61,3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение разметки в рамках ремонтно-восстановительных работ на объектах благоустройства,91740514.0,02.06.05.02 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ СРЕДСТВ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ ТЕРРИТОРИЙ,Погонный метр,
62,3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Устройство дорожной разметки в рамках благоустройства территорий объектов спорта,60046216.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр,
63,3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Устройство дорожной разметки в рамках благоустройства территорий учреждений образования,59116550.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр,
64,3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
65,3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
66,3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение дорожной разметки при благоустройстве парков,46323913.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр, квадратный метр
67,3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение разметки в рамках благоустройства территории,91741694.0,02.03.03.07 ОБУСТРОЙСТВО ТЕРРИТОРИЙ СРЕДСТВАМИ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ,Погонный метр,
68,3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение разметки в рамках обустройства объекта,160769895.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр,
69,3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение разметки в рамках ремонтно-восстановительных работ на объектах благоустройства,91740514.0,02.06.05.02 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ СРЕДСТВ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ ТЕРРИТОРИЙ,Погонный метр,
70,3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Устройство дорожной разметки в рамках благоустройства территорий объектов спорта,60046216.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр,
71,3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Устройство дорожной разметки в рамках благоустройства территорий учреждений образования,59116550.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр,
72,3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
73,3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
74,3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение дорожной разметки при благоустройстве парков,46323913.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр, квадратный метр
75,3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение разметки в рамках благоустройства территории,91741694.0,02.03.03.07 ОБУСТРОЙСТВО ТЕРРИТОРИЙ СРЕДСТВАМИ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ,Погонный метр,
76,3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение разметки в рамках обустройства объекта,160769895.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр,
77,3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение разметки в рамках ремонтно-восстановительных работ на объектах благоустройства,91740514.0,02.06.05.02 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ СРЕДСТВ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ ТЕРРИТОРИЙ,Погонный метр,
